code,sex,value1,value2,value3
A02,male,R10 (28%) - 13,R07 (26%) - 12,K52 (21%) - 10
A02,female,R07 (26%) - 10,R10 (24%) - 9,M17 (18%) - 7
A02,all,R07 (26%) - 22,R10 (26%) - 22,K52 (15%) - 13
A04,male,R07 (15%) - 89,K29 (15%) - 88,R10 (15%) - 84
A04,female,R10 (19%) - 140,R07 (17%) - 124,K52 (13%) - 95
A04,all,R10 (17%) - 224,R07 (16%) - 213,K29 (14%) - 175
A06,male,K40 (27%) - 4,C44 (20%) - 3,K52 (20%) - 3
A06,female,K62 (38%) - 3,I84 (25%) - 2,K57 (25%) - 2
A06,all,K40 (22%) - 5,K62 (22%) - 5,I84 (17%) - 4
A07,male,K52 (21%) - 4,M79 (21%) - 4,K22 (16%) - 3
A07,female,R10 (27%) - 4,M75 (20%) - 3,R19 (20%) - 3
A07,all,R10 (21%) - 7,K52 (18%) - 6,M79 (15%) - 5
A08,male,R07 (25%) - 87,I25 (18%) - 63,R10 (18%) - 62
A08,female,R10 (19%) - 90,R07 (18%) - 83,K52 (14%) - 63
A08,all,R07 (21%) - 170,R10 (19%) - 152,K52 (15%) - 123
A09,male,R07 (16%) - 221,R10 (13%) - 185,K52 (13%) - 181
A09,female,R10 (17%) - 382,R07 (15%) - 345,K52 (14%) - 308
A09,all,R10 (16%) - 567,R07 (16%) - 566,K52 (14%) - 489
A15,male,R91 (16%) - 4,A16 (12%) - 3,J18 (12%) - 3
A15,female,K80 (23%) - 3,R07 (23%) - 3,C18 (15%) - 2
A15,all,R07 (16%) - 6,R91 (16%) - 6,R05 (13%) - 5
A16,male,J18 (31%) - 16,J98 (14%) - 7,R07 (14%) - 7
A16,female,R07 (20%) - 5,C50 (12%) - 3,J18 (12%) - 3
A16,all,J18 (25%) - 19,R07 (16%) - 12,J98 (9%) - 7
A18,male,R10 (19%) - 6,N39 (16%) - 5,R07 (16%) - 5
A18,female,R07 (32%) - 7,R10 (27%) - 6,R50 (14%) - 3
A18,all,R07 (23%) - 12,R10 (23%) - 12,N39 (11%) - 6
A31,male,R91 (36%) - 4,J44 (27%) - 3,M16 (27%) - 3
A31,female,H26 (27%) - 3,J18 (27%) - 3,N39 (27%) - 3
A31,all,J44 (23%) - 5,R91 (23%) - 5,J18 (18%) - 4
A39,male,I20 (10%) - 3,I80 (10%) - 3,M16 (10%) - 3
A39,female,K80 (12%) - 4,H26 (9%) - 3,J22 (9%) - 3
A39,all,H26 (8%) - 5,J22 (6%) - 4,K80 (6%) - 4
A40,male,I25 (18%) - 10,J18 (12%) - 7,K40 (12%) - 7
A40,female,R10 (20%) - 8,K29 (17%) - 7,K57 (15%) - 6
A40,all,R10 (14%) - 14,I25 (11%) - 11,K29 (11%) - 11
A41,male,R07 (16%) - 160,J18 (15%) - 159,N39 (14%) - 144
A41,female,C50 (33%) - 342,R10 (15%) - 154,R50 (12%) - 129
A41,all,C50 (17%) - 347,R10 (14%) - 283,R07 (13%) - 278
A46,male,K40 (17%) - 7,I25 (14%) - 6,R07 (12%) - 5
A46,female,C50 (10%) - 7,L03 (9%) - 6,R07 (9%) - 6
A46,all,R07 (10%) - 11,L03 (8%) - 9,I25 (7%) - 8
A48,male,I25 (16%) - 8,R07 (16%) - 8,I21 (12%) - 6
A48,female,J18 (25%) - 4,C34 (12%) - 2,D25 (12%) - 2
A48,all,I25 (12%) - 8,R07 (12%) - 8,I21 (11%) - 7
A49,male,J18 (16%) - 14,R69 (16%) - 14,R10 (15%) - 13
A49,female,R07 (25%) - 16,C50 (21%) - 13,R10 (19%) - 12
A49,all,R07 (17%) - 25,R10 (17%) - 25,J18 (14%) - 21
A63,male,K62 (19%) - 11,R07 (12%) - 7,D12 (11%) - 6
A63,female,R10 (12%) - 10,K62 (11%) - 9,K57 (10%) - 8
A63,all,K62 (15%) - 20,K57 (9%) - 13,R07 (9%) - 13
A69,male,K40 (14%) - 3,D22 (9%) - 2,G56 (9%) - 2
A69,female,M75 (19%) - 3,G47 (12%) - 2,K57 (12%) - 2
A69,all,D22 (8%) - 3,G47 (8%) - 3,K40 (8%) - 3
A86,male,G04 (15%) - 5,N39 (15%) - 5,I25 (12%) - 4
A86,female,R07 (25%) - 4,R51 (19%) - 3,G93 (12%) - 2
A86,all,N39 (14%) - 7,R51 (14%) - 7,G04 (12%) - 6
A87,male,R51 (16%) - 12,K29 (12%) - 9,R07 (10%) - 7
A87,female,R51 (17%) - 18,R10 (14%) - 15,R07 (11%) - 12
A87,all,R51 (17%) - 30,R10 (12%) - 22,K29 (11%) - 19
B00,male,R69 (15%) - 7,I25 (12%) - 6,T85 (10%) - 5
B00,female,H26 (12%) - 8,R07 (12%) - 8,R10 (12%) - 8
B00,all,R69 (12%) - 14,R07 (11%) - 12,H26 (10%) - 11
B01,male,R69 (14%) - 6,K40 (12%) - 5,K62 (12%) - 5
B01,female,R10 (14%) - 4,C44 (11%) - 3,C50 (7%) - 2
B01,all,R10 (13%) - 9,R69 (9%) - 6,J18 (7%) - 5
B02,male,R07 (18%) - 28,I25 (12%) - 19,K40 (11%) - 17
B02,female,R10 (20%) - 32,K52 (13%) - 21,R07 (10%) - 17
B02,all,R10 (15%) - 48,R07 (14%) - 45,K52 (11%) - 35
B07,male,R07 (14%) - 41,K40 (10%) - 30,I25 (8%) - 24
B07,female,R10 (13%) - 43,R07 (10%) - 34,K62 (9%) - 32
B07,all,R07 (12%) - 75,R10 (10%) - 63,K62 (8%) - 49
B08,male,K40 (25%) - 7,I25 (18%) - 5,G56 (14%) - 4
B08,female,C50 (11%) - 4,H26 (11%) - 4,K62 (11%) - 4
B08,all,K40 (11%) - 7,R07 (11%) - 7,H02 (9%) - 6
B15,male,R17 (22%) - 2,C18 (11%) - 1,C34 (11%) - 1
B15,female,D12 (19%) - 3,C50 (12%) - 2,R10 (12%) - 2
B15,all,D12 (12%) - 3,C50 (8%) - 2,L72 (8%) - 2
B16,male,K62 (13%) - 4,I25 (10%) - 3,I80 (10%) - 3
B16,female,H26 (23%) - 3,D64 (15%) - 2,K29 (15%) - 2
B16,all,R07 (12%) - 5,D64 (9%) - 4,H26 (9%) - 4
B17,male,B18 (28%) - 14,R07 (14%) - 7,R10 (12%) - 6
B17,female,B18 (18%) - 7,R10 (13%) - 5,R69 (13%) - 5
B17,all,B18 (24%) - 21,R07 (12%) - 11,R10 (12%) - 11
B18,male,R10 (11%) - 20,R07 (10%) - 19,K29 (10%) - 18
B18,female,R10 (18%) - 18,R07 (13%) - 13,K74 (9%) - 9
B18,all,R10 (13%) - 38,R07 (11%) - 32,K29 (9%) - 26
B19,male,H26 (38%) - 3,R17 (38%) - 3,R69 (25%) - 2
