code,center,n_with_event,n_all,NUTS2,prop_on_total
A02,Middlesborough,1,21289,UKC1,4.69726149654751e-05
A04,Middlesborough,96,21289,UKC1,0.00450937103668561
A06,Middlesborough,1,21289,UKC1,4.69726149654751e-05
A07,Middlesborough,1,21289,UKC1,4.69726149654751e-05
A08,Middlesborough,48,21289,UKC1,0.00225468551834281
A09,Middlesborough,248,21289,UKC1,0.0116492085114378
A15,Middlesborough,1,21289,UKC1,4.69726149654751e-05
A16,Middlesborough,1,21289,UKC1,4.69726149654751e-05
A18,Middlesborough,2,21289,UKC1,9.39452299309503e-05
A31,Middlesborough,1,21289,UKC1,4.69726149654751e-05
A39,Middlesborough,5,21289,UKC1,0.000234863074827376
A40,Middlesborough,2,21289,UKC1,9.39452299309503e-05
A41,Middlesborough,104,21289,UKC1,0.00488515195640941
A46,Middlesborough,5,21289,UKC1,0.000234863074827376
A48,Middlesborough,0,21289,UKC1,0
A49,Middlesborough,8,21289,UKC1,0.000375780919723801
A63,Middlesborough,8,21289,UKC1,0.000375780919723801
A69,Middlesborough,1,21289,UKC1,4.69726149654751e-05
A86,Middlesborough,0,21289,UKC1,0
A87,Middlesborough,9,21289,UKC1,0.000422753534689276
B00,Middlesborough,1,21289,UKC1,4.69726149654751e-05
B01,Middlesborough,5,21289,UKC1,0.000234863074827376
B02,Middlesborough,9,21289,UKC1,0.000422753534689276
B07,Middlesborough,37,21289,UKC1,0.00173798675372258
B08,Middlesborough,1,21289,UKC1,4.69726149654751e-05
B15,Middlesborough,0,21289,UKC1,0
B16,Middlesborough,0,21289,UKC1,0
B17,Middlesborough,0,21289,UKC1,0
B18,Middlesborough,1,21289,UKC1,4.69726149654751e-05
B19,Middlesborough,1,21289,UKC1,4.69726149654751e-05
B20,Middlesborough,1,21289,UKC1,4.69726149654751e-05
B23,Middlesborough,1,21289,UKC1,4.69726149654751e-05
B24,Middlesborough,1,21289,UKC1,4.69726149654751e-05
B25,Middlesborough,1,21289,UKC1,4.69726149654751e-05
B27,Middlesborough,0,21289,UKC1,0
B34,Middlesborough,86,21289,UKC1,0.00403964488703086
B35,Middlesborough,3,21289,UKC1,0.000140917844896425
B37,Middlesborough,28,21289,UKC1,0.0013152332190333
B44,Middlesborough,3,21289,UKC1,0.000140917844896425
B50,Middlesborough,1,21289,UKC1,4.69726149654751e-05
B54,Middlesborough,0,21289,UKC1,0
B59,Middlesborough,2,21289,UKC1,9.39452299309503e-05
B80,Middlesborough,3,21289,UKC1,0.000140917844896425
B99,Middlesborough,4,21289,UKC1,0.000187890459861901
C00,Middlesborough,1,21289,UKC1,4.69726149654751e-05
C01,Middlesborough,8,21289,UKC1,0.000375780919723801
C02,Middlesborough,2,21289,UKC1,9.39452299309503e-05
C03,Middlesborough,2,21289,UKC1,9.39452299309503e-05
C04,Middlesborough,2,21289,UKC1,9.39452299309503e-05
C05,Middlesborough,5,21289,UKC1,0.000234863074827376
C06,Middlesborough,3,21289,UKC1,0.000140917844896425
C07,Middlesborough,2,21289,UKC1,9.39452299309503e-05
C08,Middlesborough,3,21289,UKC1,0.000140917844896425
C09,Middlesborough,8,21289,UKC1,0.000375780919723801
C10,Middlesborough,1,21289,UKC1,4.69726149654751e-05
C11,Middlesborough,2,21289,UKC1,9.39452299309503e-05
C12,Middlesborough,3,21289,UKC1,0.000140917844896425
C13,Middlesborough,3,21289,UKC1,0.000140917844896425
C14,Middlesborough,1,21289,UKC1,4.69726149654751e-05
C15,Middlesborough,36,21289,UKC1,0.0016910141387571
C16,Middlesborough,21,21289,UKC1,0.000986424914274978
C17,Middlesborough,7,21289,UKC1,0.000328808304758326
C18,Middlesborough,162,21289,UKC1,0.00760956362440697
C19,Middlesborough,23,21289,UKC1,0.00108037014420593
C20,Middlesborough,69,21289,UKC1,0.00324111043261778
C21,Middlesborough,13,21289,UKC1,0.000610643994551177
C22,Middlesborough,12,21289,UKC1,0.000563671379585701
C23,Middlesborough,5,21289,UKC1,0.000234863074827376
C24,Middlesborough,7,21289,UKC1,0.000328808304758326
C25,Middlesborough,25,21289,UKC1,0.00117431537413688
C26,Middlesborough,4,21289,UKC1,0.000187890459861901
C30,Middlesborough,0,21289,UKC1,0
C32,Middlesborough,11,21289,UKC1,0.000516698764620226
C34,Middlesborough,108,21289,UKC1,0.00507304241627131
C37,Middlesborough,3,21289,UKC1,0.000140917844896425
C38,Middlesborough,2,21289,UKC1,9.39452299309503e-05
C40,Middlesborough,1,21289,UKC1,4.69726149654751e-05
C41,Middlesborough,3,21289,UKC1,0.000140917844896425
C43,Middlesborough,109,21289,UKC1,0.00512001503123679
C44,Middlesborough,643,21289,UKC1,0.0302033914228005
C45,Middlesborough,10,21289,UKC1,0.000469726149654751
C47,Middlesborough,0,21289,UKC1,0
C48,Middlesborough,10,21289,UKC1,0.000469726149654751
C49,Middlesborough,13,21289,UKC1,0.000610643994551177
C50,Middlesborough,528,21289,UKC1,0.0248015407017709
C51,Middlesborough,6,21289,UKC1,0.000281835689792851
C52,Middlesborough,1,21289,UKC1,4.69726149654751e-05
C53,Middlesborough,18,21289,UKC1,0.000845507069378552
C54,Middlesborough,50,21289,UKC1,0.00234863074827376
C55,Middlesborough,7,21289,UKC1,0.000328808304758326
C56,Middlesborough,43,21289,UKC1,0.00201982244351543
C57,Middlesborough,6,21289,UKC1,0.000281835689792851
C60,Middlesborough,0,21289,UKC1,0
C61,Middlesborough,180,21289,UKC1,0.00845507069378552
C62,Middlesborough,9,21289,UKC1,0.000422753534689276
C64,Middlesborough,45,21289,UKC1,0.00211376767344638
C65,Middlesborough,1,21289,UKC1,4.69726149654751e-05
C66,Middlesborough,5,21289,UKC1,0.000234863074827376
C67,Middlesborough,102,21289,UKC1,0.00479120672647846
C68,Middlesborough,1,21289,UKC1,4.69726149654751e-05
C69,Middlesborough,6,21289,UKC1,0.000281835689792851
C71,Middlesborough,15,21289,UKC1,0.000704589224482127
C72,Middlesborough,0,21289,UKC1,0
C73,Middlesborough,17,21289,UKC1,0.000798534454413077
C74,Middlesborough,0,21289,UKC1,0
C75,Middlesborough,2,21289,UKC1,9.39452299309503e-05
C76,Middlesborough,6,21289,UKC1,0.000281835689792851
C77,Middlesborough,33,21289,UKC1,0.00155009629386068
C78,Middlesborough,79,21289,UKC1,0.00371083658227254
C79,Middlesborough,65,21289,UKC1,0.00305321997275588
C80,Middlesborough,25,21289,UKC1,0.00117431537413688
C81,Middlesborough,12,21289,UKC1,0.000563671379585701
C82,Middlesborough,27,21289,UKC1,0.00126826060406783
C83,Middlesborough,41,21289,UKC1,0.00192587721358448
C84,Middlesborough,7,21289,UKC1,0.000328808304758326
C85,Middlesborough,51,21289,UKC1,0.00239560336323923
C86,Middlesborough,1,21289,UKC1,4.69726149654751e-05
C88,Middlesborough,2,21289,UKC1,9.39452299309503e-05
C90,Middlesborough,25,21289,UKC1,0.00117431537413688
C91,Middlesborough,13,21289,UKC1,0.000610643994551177
C92,Middlesborough,18,21289,UKC1,0.000845507069378552
C93,Middlesborough,0,21289,UKC1,0
C94,Middlesborough,0,21289,UKC1,0
C95,Middlesborough,1,21289,UKC1,4.69726149654751e-05
C97,Middlesborough,0,21289,UKC1,0
D00,Middlesborough,5,21289,UKC1,0.000234863074827376
D01,Middlesborough,0,21289,UKC1,0
D02,Middlesborough,1,21289,UKC1,4.69726149654751e-05
D03,Middlesborough,27,21289,UKC1,0.00126826060406783
D04,Middlesborough,43,21289,UKC1,0.00201982244351543
D05,Middlesborough,72,21289,UKC1,0.00338202827751421
D06,Middlesborough,12,21289,UKC1,0.000563671379585701
D07,Middlesborough,11,21289,UKC1,0.000516698764620226
D09,Middlesborough,7,21289,UKC1,0.000328808304758326
D10,Middlesborough,61,21289,UKC1,0.00286532951289398
D11,Middlesborough,30,21289,UKC1,0.00140917844896425
D12,Middlesborough,718,21289,UKC1,0.0337263375452111
D13,Middlesborough,35,21289,UKC1,0.00164404152379163
D14,Middlesborough,12,21289,UKC1,0.000563671379585701
D15,Middlesborough,5,21289,UKC1,0.000234863074827376
D16,Middlesborough,17,21289,UKC1,0.000798534454413077
D17,Middlesborough,269,21289,UKC1,0.0126356334257128
D18,Middlesborough,100,21289,UKC1,0.00469726149654751
D21,Middlesborough,28,21289,UKC1,0.0013152332190333
D22,Middlesborough,292,21289,UKC1,0.0137160035699187
D23,Middlesborough,312,21289,UKC1,0.0146554558692282
D24,Middlesborough,88,21289,UKC1,0.00413359011696181
D25,Middlesborough,352,21289,UKC1,0.0165343604678472
D26,Middlesborough,6,21289,UKC1,0.000281835689792851
D27,Middlesborough,56,21289,UKC1,0.00263046643806661
D28,Middlesborough,7,21289,UKC1,0.000328808304758326
D29,Middlesborough,7,21289,UKC1,0.000328808304758326
D30,Middlesborough,13,21289,UKC1,0.000610643994551177
D31,Middlesborough,3,21289,UKC1,0.000140917844896425
D32,Middlesborough,28,21289,UKC1,0.0013152332190333
D33,Middlesborough,18,21289,UKC1,0.000845507069378552
D34,Middlesborough,18,21289,UKC1,0.000845507069378552
D35,Middlesborough,36,21289,UKC1,0.0016910141387571
D36,Middlesborough,33,21289,UKC1,0.00155009629386068
D37,Middlesborough,31,21289,UKC1,0.00145615106392973
D38,Middlesborough,9,21289,UKC1,0.000422753534689276
D39,Middlesborough,12,21289,UKC1,0.000563671379585701
D40,Middlesborough,3,21289,UKC1,0.000140917844896425
D41,Middlesborough,25,21289,UKC1,0.00117431537413688
D43,Middlesborough,4,21289,UKC1,0.000187890459861901
D44,Middlesborough,4,21289,UKC1,0.000187890459861901
D45,Middlesborough,18,21289,UKC1,0.000845507069378552
D46,Middlesborough,13,21289,UKC1,0.000610643994551177
D47,Middlesborough,17,21289,UKC1,0.000798534454413077
D48,Middlesborough,28,21289,UKC1,0.0013152332190333
D50,Middlesborough,392,21289,UKC1,0.0184132650664663
D51,Middlesborough,3,21289,UKC1,0.000140917844896425
D52,Middlesborough,2,21289,UKC1,9.39452299309503e-05
D53,Middlesborough,3,21289,UKC1,0.000140917844896425
D57,Middlesborough,0,21289,UKC1,0
D58,Middlesborough,2,21289,UKC1,9.39452299309503e-05
D59,Middlesborough,4,21289,UKC1,0.000187890459861901
D61,Middlesborough,9,21289,UKC1,0.000422753534689276
D63,Middlesborough,10,21289,UKC1,0.000469726149654751
D64,Middlesborough,238,21289,UKC1,0.0111794823617831
D66,Middlesborough,2,21289,UKC1,9.39452299309503e-05
D68,Middlesborough,4,21289,UKC1,0.000187890459861901
D69,Middlesborough,28,21289,UKC1,0.0013152332190333
D70,Middlesborough,51,21289,UKC1,0.00239560336323923
D72,Middlesborough,2,21289,UKC1,9.39452299309503e-05
D73,Middlesborough,1,21289,UKC1,4.69726149654751e-05
D75,Middlesborough,10,21289,UKC1,0.000469726149654751
D76,Middlesborough,2,21289,UKC1,9.39452299309503e-05
D80,Middlesborough,6,21289,UKC1,0.000281835689792851
D83,Middlesborough,1,21289,UKC1,4.69726149654751e-05
D84,Middlesborough,2,21289,UKC1,9.39452299309503e-05
D86,Middlesborough,7,21289,UKC1,0.000328808304758326
D89,Middlesborough,6,21289,UKC1,0.000281835689792851
E03,Middlesborough,8,21289,UKC1,0.000375780919723801
E04,Middlesborough,73,21289,UKC1,0.00342900089247968
E05,Middlesborough,38,21289,UKC1,0.00178495936868805
E06,Middlesborough,5,21289,UKC1,0.000234863074827376
E07,Middlesborough,2,21289,UKC1,9.39452299309503e-05
E10,Middlesborough,51,21289,UKC1,0.00239560336323923
E11,Middlesborough,75,21289,UKC1,0.00352294612241063
E13,Middlesborough,1,21289,UKC1,4.69726149654751e-05
E14,Middlesborough,8,21289,UKC1,0.000375780919723801
E16,Middlesborough,29,21289,UKC1,0.00136220583399878
E21,Middlesborough,18,21289,UKC1,0.000845507069378552
E22,Middlesborough,8,21289,UKC1,0.000375780919723801
E23,Middlesborough,19,21289,UKC1,0.000892479684344027
E24,Middlesborough,0,21289,UKC1,0
E26,Middlesborough,3,21289,UKC1,0.000140917844896425
E27,Middlesborough,23,21289,UKC1,0.00108037014420593
E28,Middlesborough,3,21289,UKC1,0.000140917844896425
E29,Middlesborough,4,21289,UKC1,0.000187890459861901
E34,Middlesborough,3,21289,UKC1,0.000140917844896425
E46,Middlesborough,0,21289,UKC1,0
E53,Middlesborough,2,21289,UKC1,9.39452299309503e-05
E55,Middlesborough,2,21289,UKC1,9.39452299309503e-05
E61,Middlesborough,9,21289,UKC1,0.000422753534689276
E65,Middlesborough,0,21289,UKC1,0
E66,Middlesborough,46,21289,UKC1,0.00216074028841186
E78,Middlesborough,1,21289,UKC1,4.69726149654751e-05
E83,Middlesborough,46,21289,UKC1,0.00216074028841186
E85,Middlesborough,1,21289,UKC1,4.69726149654751e-05
E86,Middlesborough,17,21289,UKC1,0.000798534454413077
E87,Middlesborough,60,21289,UKC1,0.00281835689792851
E88,Middlesborough,1,21289,UKC1,4.69726149654751e-05
E89,Middlesborough,4,21289,UKC1,0.000187890459861901
F00,Middlesborough,3,21289,UKC1,0.000140917844896425
F01,Middlesborough,2,21289,UKC1,9.39452299309503e-05
F03,Middlesborough,2,21289,UKC1,9.39452299309503e-05
F05,Middlesborough,3,21289,UKC1,0.000140917844896425
F06,Middlesborough,1,21289,UKC1,4.69726149654751e-05
F07,Middlesborough,1,21289,UKC1,4.69726149654751e-05
F10,Middlesborough,44,21289,UKC1,0.00206679505848091
F11,Middlesborough,0,21289,UKC1,0
F19,Middlesborough,1,21289,UKC1,4.69726149654751e-05
F20,Middlesborough,6,21289,UKC1,0.000281835689792851
F22,Middlesborough,2,21289,UKC1,9.39452299309503e-05
F23,Middlesborough,8,21289,UKC1,0.000375780919723801
F25,Middlesborough,5,21289,UKC1,0.000234863074827376
F29,Middlesborough,4,21289,UKC1,0.000187890459861901
F30,Middlesborough,8,21289,UKC1,0.000375780919723801
F31,Middlesborough,26,21289,UKC1,0.00122128798910235
F32,Middlesborough,41,21289,UKC1,0.00192587721358448
