code,year,incidence,n_events
A02,1998,0.00140328931014298,7
A02,2010,0.00140657150205761,7
A02,1999,0.00120281940869398,6
A02,2009,0.00120361566144699,6
A02,2013,0.00142133134076216,7
A02,2003,0.00120281940869398,6
A02,2012,0.00121345478667465,6
A02,2000,0.00160375921159197,8
A04,2014,0.0267258579816469,131
A04,2004,0.0110258445796948,55
A04,2005,0.0130305435941848,65
A04,2012,0.0220444286245894,109
A04,2009,0.0174524270909813,87
A04,2003,0.0112263144811438,56
A04,2011,0.0195480569835937,97
A04,2010,0.020897633744856,104
A04,2000,0.0130305435941848,65
A04,2001,0.0110258445796948,55
A04,2007,0.0124291588065602,62
A04,1999,0.0104244348753478,52
A04,1998,0.00741738635361287,37
A04,2013,0.0237565381241675,117
A04,2006,0.0118277241854908,59
A04,2008,0.0134320488686005,67
A04,2002,0.0120281940869398,60
A06,Not enough data,NA,Not enough data
A07,Not enough data,NA,Not enough data
A08,2013,0.020507780773854,101
A08,1998,0.00320751842318394,16
A08,2012,0.0200220039801317,99
A08,2014,0.0195853615743366,96
A08,2008,0.0140334838925677,70
A08,2011,0.0161221088524484,80
A08,2009,0.0102307331222994,51
A08,2007,0.00942210425658595,47
A08,2002,0.00360845822608194,18
A08,2005,0.00621456694491889,31
A08,2006,0.00721691645216387,36
A08,2001,0.00260610871883695,13
A08,2010,0.0162760416666667,81
A08,2000,0.00220516891593896,11
A08,2003,0.00441033783187792,22
A08,2004,0.00601409704346989,30
A09,2014,0.229515955949258,1125
A09,2013,0.217666742471005,1072
A09,2005,0.00701644655071488,35
A09,2012,0.163007426343294,806
A09,1999,0.00601409704346989,30
A09,2009,0.00581747569699377,29
A09,2002,0.00360845822608194,18
A09,2011,0.00685189626229059,34
A09,2004,0.00681597664926588,34
A09,2010,0.00984600051440329,49
A09,2006,0.00902114556520484,45
A09,2000,0.00521221743767391,26
A09,2003,0.00420986793042893,21
A09,2008,0.00701674194628383,35
A09,2007,0.00741740122326979,37
A09,1998,0.0054126873391229,27
A09,2001,0.00320751842318394,16
A15,Not enough data,NA,Not enough data
A16,2005,0.00200469901448996,10
A16,1999,0.00160375921159197,8
A16,2001,0.00120281940869398,6
A16,2014,0.00122408509839604,6
A16,1998,0.00140328931014298,7
A18,2010,0.00120563271604938,6
A18,2006,0.00120281940869398,6
A31,Not enough data,NA,Not enough data
A39,2005,0.00160375921159197,8
A39,1999,0.00120281940869398,6
A39,2008,0.00120287004793437,6
A39,1998,0.00160375921159197,8
A39,2000,0.00120281940869398,6
A40,2013,0.00284266268152432,14
A40,2006,0.00160375921159197,8
A40,2014,0.00265218437985809,13
A40,2011,0.00120915816393363,6
A40,2008,0.00120287004793437,6
A40,2009,0.00180542349217048,9
A40,2012,0.00182018218001197,9
A41,2014,0.104047233363663,510
A41,2012,0.065526558480431,324
A41,2005,0.00621456694491889,31
A41,2013,0.0832494071017836,410
A41,2010,0.0273276748971193,136
A41,2011,0.0407083248524323,202
A41,2003,0.00400939802897993,20
A41,2006,0.00781832615651086,39
A41,2002,0.00380892812753093,19
A41,2009,0.0178536323114636,89
A41,2001,0.00300704852173495,15
A41,2004,0.00701644655071488,35
A41,2008,0.0134320488686005,67
A41,2007,0.0118277478965653,59
A41,1999,0.00360845822608194,18
A41,2000,0.00320751842318394,16
A41,1998,0.00200469901448996,10
A46,2004,0.00200469901448996,10
A46,2009,0.00200602610241164,10
A46,2006,0.00180422911304097,9
A46,2012,0.00121345478667465,6
A46,2010,0.00120563271604938,6
A46,2003,0.00160375921159197,8
A46,2014,0.00122408509839604,6
A46,2002,0.00140328931014298,7
A46,2011,0.00141068452458924,7
A46,1998,0.00160375921159197,8
A46,2000,0.00180422911304097,9
A48,2005,0.00120281940869398,6
A48,2013,0.00121828400636756,6
A48,2008,0.00120287004793437,6
A48,2014,0.00183612764759406,9
A48,2012,0.00121345478667465,6
A49,2012,0.00384260682446972,19
A49,2004,0.00120281940869398,6
A49,2009,0.00220662871265281,11
A49,2011,0.00141068452458924,7
A49,2014,0.00489634039358416,24
A49,2008,0.00160382673057916,8
A49,2007,0.00140329212332131,7
A49,2013,0.00446704135668107,22
A49,2010,0.00361689814814815,18
A63,2005,0.00240563881738796,12
A63,2001,0.00160375921159197,8
A63,2003,0.00260610871883695,13
A63,2004,0.00280657862028595,14
A63,1999,0.00340798832463294,17
A63,2000,0.00240563881738796,12
A63,1998,0.00340798832463294,17
A63,2002,0.00160375921159197,8
A63,2007,0.00240564363997939,12
A63,2006,0.00160375921159197,8
A63,2008,0.00140334838925677,7
A69,Not enough data,NA,Not enough data
A86,2006,0.00120281940869398,6
A86,2014,0.00163211346452805,8
A87,2001,0.00400939802897993,20
A87,2004,0.00180422911304097,9
A87,2005,0.00220516891593896,11
A87,2012,0.00262915203779507,13
A87,2008,0.00160382673057916,8
A87,2002,0.00160375921159197,8
A87,2000,0.00260610871883695,13
A87,2006,0.00200469901448996,10
A87,1998,0.00240563881738796,12
A87,2013,0.00121828400636756,6
A87,1999,0.00260610871883695,13
A87,2011,0.00221678996721166,11
A87,2003,0.00160375921159197,8
A87,2007,0.00340799515663747,17
A87,2010,0.00180844907407407,9
B00,2006,0.00160375921159197,8
B00,2007,0.0012028218199897,6
B00,2005,0.00120281940869398,6
B00,2000,0.00140328931014298,7
B00,2011,0.00181373724590045,9
B00,2010,0.00140657150205761,7
B00,2004,0.00140328931014298,7
B00,2013,0.00121828400636756,6
B00,2012,0.0032358794311324,16
B00,2002,0.00160375921159197,8
B00,1999,0.00140328931014298,7
B01,1999,0.00120281940869398,6
B01,2007,0.00140329212332131,7
B01,2012,0.00141569725112042,7
B01,2003,0.00140328931014298,7
B02,2012,0.00728072872004789,36
B02,2006,0.00360845822608194,18
B02,2000,0.00280657862028595,14
B02,1999,0.00200469901448996,10
B02,2009,0.00461386003554678,23
B02,2002,0.00200469901448996,10
B02,2004,0.00360845822608194,18
B02,2013,0.00548227802865404,27
B02,2010,0.00401877572016461,20
B02,2001,0.00300704852173495,15
B02,2007,0.00300705454997424,15
B02,2014,0.00632443967504621,31
B02,2011,0.00423205357376772,21
B02,2005,0.00481127763477591,24
B02,1998,0.00160375921159197,8
B02,2003,0.00180422911304097,9
B02,2008,0.00200478341322395,10
B07,2007,0.00681599031327494,34
B07,2000,0.00681597664926588,34
B07,2003,0.00801879605795986,40
B07,1998,0.00841973586085785,42
B07,2009,0.00882651485061124,44
B07,2004,0.0056131572405719,28
B07,2014,0.0114247942516964,56
B07,2005,0.00601409704346989,30
B07,2013,0.00954322471654592,47
B07,2010,0.00803755144032922,40
B07,2002,0.00380892812753093,19
B07,1999,0.00862020576230685,43
B07,2001,0.00420986793042893,21
B07,2011,0.00826258078687983,41
B07,2008,0.00821961199421821,41
B07,2012,0.00849418350672254,42
B07,2006,0.00681597664926588,34
B08,2003,0.00140328931014298,7
B15,Not enough data,NA,Not enough data
B16,2005,0.00120281940869398,6
B17,2013,0.00121828400636756,6
B17,2005,0.00220516891593896,11
B17,2006,0.00200469901448996,10
B17,1999,0.00200469901448996,10
B17,2004,0.00140328931014298,7
B17,2001,0.00160375921159197,8
B17,2009,0.00120361566144699,6
B17,2003,0.00140328931014298,7
B18,2011,0.0036274744918009,18
B18,2001,0.00380892812753093,19
B18,2000,0.00380892812753093,19
B18,2003,0.00220516891593896,11
B18,2006,0.00521221743767391,26
B18,2012,0.00222466710890352,11
B18,2008,0.00481148019173749,24
B18,1998,0.00400939802897993,20
B18,2004,0.00280657862028595,14
B18,2009,0.00441325742530562,22
B18,2002,0.00360845822608194,18
B18,2005,0.00481127763477591,24
B18,2010,0.00321502057613169,16
B18,2007,0.00400940606663232,20
B18,1999,0.00260610871883695,13
B18,2013,0.00121828400636756,6
B18,2014,0.00142809928146205,7
B19,Not enough data,NA,Not enough data
B20,2006,0.00260610871883695,13
B20,2004,0.00120281940869398,6
B20,2007,0.00220517333664778,11
B23,2007,0.00160376242665293,8
B24,1999,0.00160375921159197,8
B24,1998,0.00140328931014298,7
B24,2007,0.00180423272998454,9
B24,2006,0.00140328931014298,7
B24,2001,0.00120281940869398,6
B25,2011,0.00181373724590045,9
B25,2004,0.00120281940869398,6
B25,2013,0.00162437867515675,8
B25,2012,0.0016179397155662,8
B25,2014,0.00122408509839604,6
B27,Not enough data,NA,Not enough data
B34,2007,0.0124291588065602,62
B34,1999,0.0166390018202667,83
B34,2008,0.0186444857429828,93
B34,2011,0.0193465306229381,96
B34,2014,0.0226455743203267,111
B34,2013,0.020507780773854,101
B34,2012,0.0171906094778909,85
B34,2005,0.0190446406376547,95
B34,1998,0.0154361824115727,77
B34,2002,0.0128300736927358,64
B34,2004,0.0140328931014298,70
B34,2009,0.0178536323114636,89
B34,2006,0.0180422911304097,90
B34,2003,0.0154361824115727,77
B34,2000,0.0136319532985318,68
B34,2010,0.0148694701646091,74
B34,2001,0.0156366523130217,78
B35,2013,0.00162437867515675,8
B37,2011,0.0102778443934359,51
B37,2005,0.00260610871883695,13
B37,2014,0.0134649360823564,66
B37,2010,0.00843942901234568,42
B37,2003,0.00160375921159197,8
B37,2006,0.00360845822608194,18
B37,2012,0.0123367903311923,61
B37,2009,0.00461386003554678,23
B37,2013,0.00934017738215133,46
B37,2008,0.00441052350909269,22
B37,2004,0.00280657862028595,14
B37,1998,0.00200469901448996,10
B37,2007,0.00641504970661171,32
B37,2000,0.00280657862028595,14
B37,1999,0.00260610871883695,13
B37,2001,0.00140328931014298,7
B44,2013,0.00203047334394594,10
B44,2008,0.00200478341322395,10
B44,2010,0.00120563271604938,6
B44,2014,0.00183612764759406,9
B44,2011,0.00141068452458924,7
B50,2002,0.00200469901448996,10
B50,2013,0.00243656801273513,12
B50,2008,0.00160382673057916,8
B50,1999,0.00180422911304097,9
B50,2004,0.00160375921159197,8
B50,2010,0.00180844907407407,9
B50,2006,0.00180422911304097,9
B50,2011,0.00120915816393363,6
B50,2005,0.00120281940869398,6
B50,2012,0.00121345478667465,6
B50,2014,0.00122408509839604,6
B50,2003,0.00120281940869398,6
B50,2001,0.00220516891593896,11
B54,1998,0.00140328931014298,7
B59,2014,0.00142809928146205,7
B59,2012,0.00121345478667465,6
B80,Not enough data,NA,Not enough data
B99,2014,0.00183612764759406,9
C00,2011,0.00141068452458924,7
C01,2012,0.00303363696668662,15
C01,2007,0.00140329212332131,7
C01,2005,0.00140328931014298,7
C01,2013,0.00507618335986485,25
C01,2010,0.002612204218107,13
C01,2009,0.00220662871265281,11
C01,2008,0.00140334838925677,7
C01,2014,0.00428429784438614,21
C01,2011,0.00221678996721166,11
C01,2004,0.00140328931014298,7
C02,2007,0.00320752485330586,16
C02,2001,0.00180422911304097,9
C02,2002,0.00280657862028595,14
C02,2003,0.00160375921159197,8
C02,2012,0.00283139450224085,14
C02,2008,0.00340813180248072,17
C02,2014,0.00346824111212212,17
C02,2010,0.00401877572016461,20
C02,2006,0.00200469901448996,10
C02,2013,0.00385789935349729,19
C02,2000,0.00140328931014298,7
C02,2009,0.0028084365433763,14
C02,2005,0.00280657862028595,14
C02,2011,0.00322442177048969,16
C02,2004,0.00180422911304097,9
C03,2014,0.00122408509839604,6
C03,2011,0.00120915816393363,6
C04,2013,0.00182742600955135,9
C04,2012,0.00141569725112042,7
C05,2012,0.00222466710890352,11
C05,2006,0.00160375921159197,8
C05,2014,0.00142809928146205,7
C05,2013,0.00121828400636756,6
C06,2007,0.0012028218199897,6
C06,2011,0.00181373724590045,9
C06,2012,0.0016179397155662,8
C06,2014,0.00142809928146205,7
C07,2010,0.00120563271604938,6
C07,2013,0.00121828400636756,6
C07,2009,0.00120361566144699,6
C07,2014,0.00122408509839604,6
C07,2001,0.00120281940869398,6
C07,2007,0.00140329212332131,7
C07,2006,0.00160375921159197,8
C08,Not enough data,NA,Not enough data
C09,2010,0.002612204218107,13
C09,2000,0.00140328931014298,7
C09,2012,0.00566278900448169,28
C09,2001,0.00180422911304097,9
C09,2014,0.00367225529518812,18
C09,2009,0.00401205220482329,20
C09,2002,0.00120281940869398,6
C09,2013,0.00588837269744323,29
C09,2003,0.00180422911304097,9
C09,2007,0.00340799515663747,17
C09,2011,0.00382900085245651,19
C09,2006,0.00220516891593896,11
C09,2005,0.00320751842318394,16
C09,2008,0.00220526175454635,11
C09,2004,0.00160375921159197,8
C10,2004,0.00120281940869398,6
C10,2009,0.00180542349217048,9
C10,2013,0.00223352067834053,11
C10,2010,0.00140657150205761,7
C10,2012,0.00121345478667465,6
C10,2007,0.0012028218199897,6
C10,2014,0.00183612764759406,9
C11,Not enough data,NA,Not enough data
