code,prevelence,h2_observed,h2_observed_se,h2_liability,h2_liability_se,h2_z,h2_p
A04,0.0015866,0.002809583,0.002241071,0.168724829,0.134583752,1.253679036,0.104979345
A08,0.000907476,-0.000867688,0.002016198,-0.082935893,0.192713383,-0.430358762,0.666532656
A09,0.00090451,0.002619434,0.00226569,0.251060767,0.217155988,1.15613099,0.123813791
A41,0.00113583,-0.001745237,0.002170532,-0.138269338,0.171964056,-0.804059534,0.789318703
A63,0.000308423,-0.00041106,0.002020145,-0.098391552,0.483542437,-0.203480697,0.580620334
A87,0.000293595,-0.002761544,0.002247142,-0.689673489,0.561205686,-1.228913937,0.890447962
B02,0.000329182,-0.004445993,0.002064065,-1.006171185,0.467117957,-2.153998086,0.984379839
B07,0.000895614,-0.001485605,0.002132655,-0.143574344,0.20610768,-0.696598711,0.756973019
B18,0.00031732,-0.001384903,0.002480363,-0.323472401,0.579339459,-0.558346917,0.711696243
B34,0.00206703,-0.002376378,0.002141976,-0.114860233,0.103530639,-1.109432282,0.866378129
B37,0.000453738,0.004673569,0.002244682,0.803342549,0.385839774,2.082062562,0.018668378
B50,8.9e-05,-0.00056933,0.002343171,-0.402654949,1.657191256,-0.242974339,0.595987362
C02,0.000338079,0.002139112,0.002387651,0.473127222,0.528098833,0.895906584,0.185151329
C09,0.000287664,0.004010016,0.00219787,1.019251074,0.558646582,1.824500688,0.034038206
C15,0.000794783,0.003086381,0.002044519,0.329782385,0.218458613,1.50958747,0.06557436
C16,0.000539741,-0.003058983,0.002035389,-0.453510859,0.301757478,-1.502898493,0.933567389
C18,0.0039146,0.003892274,0.002245228,0.112397169,0.064835427,1.733576444,0.041496632
C19,0.000871889,-0.000759596,0.002229405,-0.07508352,0.220369331,-0.340716738,0.633341582
C20,0.0020611,-0.000998552,0.002228117,-0.048377617,0.107947267,-0.448159717,0.672981034
C21,0.000258008,-0.001784069,0.002314493,-0.498137265,0.646238954,-0.770825191,0.779594723
C22,0.000246145,0.003639691,0.002199714,1.058474217,0.639708193,1.654620385,0.049000763
C25,0.00043891,0.003309114,0.00212512,0.585182529,0.375805413,1.557142362,0.059718345
C32,0.000338079,-0.000254967,0.002137765,-0.056393411,0.472829277,-0.119268019,0.54746849
C34,0.00179123,-0.000183586,0.002105525,-0.009977692,0.114432811,-0.087192583,0.534740783
C43,0.00296857,-0.000217504,0.002403872,-0.007837934,0.086625304,-0.090480884,0.536047458
C44,0.014312,0.011204565,0.00302373,0.119487369,0.032245564,3.70554445,0.000105469
C45,0.000163108,-0.001565308,0.002001581,-0.650813686,0.832204276,-0.78203598,0.782903286
C49,0.00039146,0.000475232,0.002135883,0.092684258,0.416560316,0.22249901,0.411962722
C50,0.0163405,0.011827268,0.00247114,0.114447205,0.023912123,4.7861583,8.5e-07
C53,0.000430013,-0.001988098,0.002247553,-0.35778331,0.404475489,-0.884561165,0.81180332
C54,0.00175267,0.001196254,0.002045119,0.06618737,0.113154085,0.584931338,0.279296943
C56,0.00130487,0.001806748,0.00217199,0.127544621,0.1533283,0.831840052,0.202749616
C61,0.00674083,0.004857284,0.002412497,0.091542446,0.045466941,2.013384759,0.022037084
C62,0.000524913,0.001791776,0.002271322,0.272011132,0.344811476,0.78886914,0.215094247
C64,0.00119217,0.002454633,0.002205228,0.186787292,0.167808591,1.113097314,0.132833319
C67,0.00292705,0.004156021,0.002481331,0.15147425,0.090436945,1.674915605,0.046975396
C69,0.000308423,0.001305084,0.002179558,0.312385252,0.521699594,0.598783775,0.274658542
C71,0.000468566,0.0001695,0.001941047,0.028346501,0.324613264,0.087323915,0.465207023
C73,0.000572362,8.44e-05,0.002253654,0.011897498,0.317862077,0.037429749,0.485071177
C77,0.000916373,-0.002277484,0.00212977,-0.215913685,0.201909857,-1.06935683,0.857545544
C78,0.00161922,0.000655126,0.001953093,0.038688038,0.115338653,0.335429942,0.368650392
C79,0.00124259,-0.002397806,0.002331442,-0.176285221,0.171406171,-1.028464846,0.848134391
C80,0.000566431,0.0032739,0.002548626,0.465863983,0.3626602,1.284574328,0.099470537
C81,0.000308423,0.000776122,0.002345521,0.185772719,0.561424643,0.330895199,0.370361824
C82,0.000593122,-0.000410592,0.002256247,-0.056186027,0.308747801,-0.181980332,0.572200919
C83,0.000880786,-0.001236229,0.002272262,-0.121159785,0.222698854,-0.544052126,0.706797198
C85,0.00161329,0.001186135,0.002118805,0.070258584,0.12550363,0.559813166,0.287803441
C90,0.000619812,-0.0024481,0.002016563,-0.322727359,0.265838831,-1.213996311,0.887625433
C91,0.000596087,-0.003531734,0.002356522,-0.481246436,0.321107975,-1.498705957,0.933025035
