code,n_events_M,n_events_F,n_afterbs_M,n_afterbs_F,prevalence_M,prevalence_F,prevalence_TOT,age_mean_M,age_mean_F,age_mean_TOT,age_median_M,age_median_F,age_median_TOT,n_events_TOT,n_afterbs_TOT
A02,47,38,20,13,0.02,0.01,0.02,57.2566006961131,53.4246190424727,55.5434794862504,56.4893908281999,55.9907597535934,56.4893908281999,85,33
A04,575,720,286,374,0.25,0.27,0.26,56.6825414397524,57.5781779983269,57.180501534095,58.047227926078,58.7306639288159,58.3764544832307,1295,660
A06,15,8,5,5,0.01,0,0,54.3495779146703,55.7968856947296,54.8529893164301,54.4907597535934,56.2481177275838,55.4948665297741,23,10
A07,19,15,9,8,0.01,0.01,0.01,55.7508195540185,55.766598220397,55.757780730362,56.2375085557837,57.8316221765914,56.67659137577,34,17
A08,351,466,230,302,0.15,0.17,0.16,59.832203287371,58.2402052800569,58.9241603603105,61.1697467488022,59.4154688569473,60.1512662559891,817,532
A09,1371,2247,1238,2073,0.6,0.83,0.73,61.2020243321247,61.6396296286143,61.4738040726476,62.5181382614647,63.1341546885695,62.9479808350445,3618,3311
A15,25,13,10,7,0.01,0,0.01,51.9408076659822,57.3206970989312,53.7812961562016,52.2450376454483,57.7494866529774,54.0311430527036,38,17
A16,51,25,18,7,0.02,0.01,0.02,52.4186764370361,46.6281451060917,50.5138963939623,51.7132101300479,45.7967145790554,50.0266940451745,76,25
A18,31,22,12,9,0.01,0.01,0.01,55.0975911328962,52.8006969074731,54.1441633412111,55.2464065708419,50.6074606433949,54.9493497604381,53,21
A31,11,11,9,9,0,0,0,63.00734241802,61.1350880467924,62.0712152324062,63.4592744695414,59.1820670773443,62.8086926762491,22,18
A39,31,32,7,8,0.01,0.01,0.01,54.582786867148,52.8310660506502,53.6930239127364,54.6666666666667,53.9404517453799,54.2395619438741,63,15
A40,57,41,35,24,0.03,0.02,0.02,60.5278288122771,59.1678769970451,59.9588693793739,61.2628336755647,60.1019849418207,60.3418891170431,98,59
A41,1029,1046,877,873,0.45,0.39,0.42,63.9263773564574,61.2993634366048,62.6021091346907,65.3976728268309,62.9130732375086,64.2580424366872,2075,1750
A46,42,67,12,23,0.02,0.02,0.02,54.6845767738992,55.7978996189484,55.3689128346175,57.0564681724846,57.482546201232,57.1163586584531,109,35
A48,50,16,26,9,0.02,0.01,0.01,59.3909240246407,58.732546201232,59.2313172795719,62.1098562628337,59.3199863107461,61.0044490075291,66,35
A49,85,63,62,38,0.04,0.02,0.03,60.6206144059266,58.6701976250231,59.7903694248663,62.1526351813826,58.8350444900753,60.8336755646817,148,100
A63,57,80,7,6,0.03,0.03,0.03,48.871128883125,48.6042265571526,48.7152735102944,48.258726899384,47.8329911019849,48.1670088980151,137,13
A69,22,16,9,6,0.01,0.01,0.01,57.2752784518698,53.6879277891855,55.7648150149501,57.7262149212868,53.8870636550308,55.4414784394251,38,15
A86,33,16,16,7,0.01,0.01,0.01,58.8545413062867,54.9004962354552,57.5634245484641,59.2464065708419,53.7628336755647,58.3449691991786,49,23
A87,73,106,21,28,0.03,0.04,0.04,49.6660290849765,48.8337143078532,49.1731499432164,48.3011635865845,48.7443531827515,48.5154004106776,179,49
B00,48,64,23,24,0.02,0.02,0.02,55.7981833219256,53.3556211498973,54.402433509338,56.8412046543463,53.8559206023272,54.7881587953457,112,47
B01,42,28,14,12,0.02,0.01,0.01,49.4374368501679,51.7167302239171,50.3491541996675,46.7819986310746,53.7292950034223,49.8956194387406,70,26
B02,153,162,67,95,0.07,0.06,0.06,58.985957330685,59.5906448314616,59.2969394739415,61.3483915126626,59.9226557152635,60.6331279945243,315,162
B07,301,343,119,151,0.13,0.13,0.13,55.8068769172346,55.6834848929305,55.7411572521161,56.6050650239562,55.9890485968515,56.3042436687201,644,270
B08,28,37,10,10,0.01,0.01,0.01,53.1257700205339,52.2210444530773,52.6107723898278,52.7436687200548,51.5989048596851,52.4941820670773,65,20
B15,9,16,1,3,0,0.01,0.01,52.0549851699749,47.9002395619439,49.395947980835,54.3463381245722,49.4329226557153,50.993839835729,25,4
B16,30,13,10,3,0.01,0,0.01,50.1112480036505,50.6309693044806,50.2683730480875,50.0622861054073,52.6071184120465,51.1218343600274,43,13
B17,50,38,7,13,0.02,0.01,0.02,50.1719780971937,53.621960445261,51.6617432020409,50.4671457905544,54.2060232717317,51.8518138261465,88,20
B18,188,100,76,36,0.08,0.04,0.06,48.8269073936534,49.5852156057495,49.0902088561868,47.5982203969884,49.6232032854209,48.5424366872005,288,112
B19,8,21,3,6,0,0.01,0.01,53.7618069815195,52.3600925654314,52.7467724043522,54.4890485968515,52.5448323066393,53.9794661190965,29,9
B20,41,11,3,1,0.02,0,0.01,48.8415719270129,45.9340426855827,48.2265176644027,48.0075290896646,41.4818617385353,47.8552361396304,52,4
B23,21,4,5,1,0.01,0,0.01,49.1787425442456,50.8280287474333,49.4426283367556,49.9445585215606,53.0249828884326,49.9678302532512,25,6
B24,46,12,4,0,0.02,0,0.01,47.9872779216141,42.1082591832078,46.7709292171163,47.0985626283368,39.080424366872,45.6776180698152,58,4
B25,29,38,18,20,0.01,0.01,0.01,57.0328542094456,57.096941532476,57.0692022434031,56.6187542778919,56.6697467488022,56.6187542778919,67,38
B27,21,13,6,5,0.01,0,0.01,47.6871679541084,52.1741694308429,49.402786165801,48.2635181382615,54.9185489390828,49.2111567419576,34,11
B34,575,860,234,337,0.25,0.32,0.29,53.9014909383091,53.3658023335403,53.5804510776114,54.5619438740589,53.7973990417522,54.1095140314853,1435,571
B35,30,22,11,13,0.01,0.01,0.01,53.7425279488935,59.299390205961,56.0935081345759,53.8463381245722,59.7683093771389,55.4034907597536,52,24
B37,199,253,136,160,0.09,0.09,0.09,61.4716429512381,58.7110809911453,59.9264611461419,63.3976728268309,60.9520876112252,61.990417522245,452,296
B44,39,36,25,25,0.02,0.01,0.02,58.8507695817757,58.6494790478363,58.7541501254848,60.8104038329911,59.0739219712526,60.6365503080082,75,50
B50,65,57,24,19,0.03,0.02,0.02,51.1578370978782,50.6008861990706,50.8976223336812,51.4209445585216,51.2936344969199,51.3340177960301,122,43
B54,13,23,2,6,0.01,0.01,0.01,50.3103775075028,48.0209505103711,48.8476880371131,50.7392197125257,47.0554414784394,47.2778918548939,36,8
B59,20,15,14,12,0.01,0.01,0.01,62.4575290896646,62.6912160620579,62.5576806492618,63.6889117043121,63.4469541409993,63.6255989048597,35,26
B80,11,14,9,7,0,0.01,0.01,59.0368365378632,57.3723965972426,58.1047501711157,60.3388090349076,59.0427789185489,60.3388090349076,25,16
B99,20,16,17,12,0.01,0.01,0.01,62.2810403832991,61.1020277207392,61.7570347554947,63.2094455852156,61.2556468172485,62.5752908966461,36,29
C00,24,27,11,16,0.01,0.01,0.01,60.823465662788,59.4299186249905,60.085705466307,63.4507186858316,62.5639972621492,63.2101300479124,51,27
C01,110,37,79,24,0.05,0.01,0.03,59.6169622301039,59.9065060954178,59.689840617972,59.5427789185489,61.3997262149213,59.9801505817933,147,103
C02,138,76,76,37,0.06,0.03,0.04,58.0096023172534,56.6957293130156,57.5429932129447,57.3887748117728,57.2522245037645,57.3008213552361,214,113
C03,19,12,11,10,0.01,0,0.01,62.9680103750135,61.0525325119781,62.2265350731933,63.429158110883,60.3442847364819,62.6947296372348,31,21
C04,41,15,22,9,0.02,0.01,0.01,59.2054055858834,58.3853981291353,58.9857607313973,59.1238877481177,59.1629021218344,59.143394934976,56,31
C05,32,34,16,18,0.01,0.01,0.01,60.3774383983573,58.8780649836937,59.6050339120154,61.7922655715264,59.895961670089,61.1208076659822,66,34
C06,42,28,24,14,0.02,0.01,0.01,59.987793748574,57.0679818128483,58.8198689742838,60.0020533880903,60.7197125256673,60.0075290896646,70,38
C07,40,35,17,17,0.02,0.01,0.02,56.8681211498973,56.2102278282976,56.5611042664841,56.3463381245722,57.6440793976728,57.6440793976728,75,34
C08,16,16,6,8,0.01,0.01,0.01,57.0304158110883,53.7295516769336,55.3799837440109,57.3524982888433,54.0246406570842,56.1016427104723,32,14
C09,165,64,92,37,0.07,0.02,0.05,57.230124655176,55.6018886892539,56.7750718088048,56.9623545516769,56.3720054757016,56.7912388774812,229,129
C10,57,15,38,9,0.03,0.01,0.01,57.9160752668804,59.469723933379,58.2397520724009,57.6002737850787,61.0643394934976,57.7898699520876,72,47
C11,27,16,17,5,0.01,0.01,0.01,56.7601592009532,55.9102926078029,56.4439297709438,58.3812457221081,59.4893908281999,59.4729637234771,43,22
C12,32,6,18,3,0.01,0,0.01,60.6865588637919,57.595254391969,60.1984581577146,61.8388090349076,59.6505817932923,61.5088980150582,38,21
C13,18,9,14,6,0.01,0,0.01,62.5916419499582,60.1661723324968,61.783152077471,61.9010951403149,60.3641341546886,61.4503764544832,27,20
C14,24,14,14,10,0.01,0.01,0.01,58.7181439653206,58.4106776180698,58.6048668900177,59.1680355920602,61.1009582477755,59.4743326488706,38,24
C15,568,189,447,154,0.25,0.07,0.15,63.4648634448718,62.1175284015804,63.1284746427819,64.3939082819986,63.3798767967146,64.1724845995893,757,601
C16,415,183,331,129,0.18,0.07,0.12,63.596500169054,62.282772859371,63.1944732498701,65.0835044490075,63.5598904859685,64.5869267624914,598,460
C17,98,74,73,54,0.04,0.03,0.03,61.8057522803783,61.4384353552731,61.6477205800423,63.5896646132786,62.8713210130048,63.3720054757016,172,127
C18,1827,1490,1192,975,0.8,0.55,0.66,62.3521918353753,61.2295462793251,61.84789823317,63.3223819301848,62.1009582477755,62.8377823408624,3317,2167
C19,441,296,300,165,0.19,0.11,0.15,62.8759461804343,60.0177220341491,61.7280026969873,63.8815879534565,60.0201916495551,62.7789185489391,737,465
C20,991,590,580,332,0.44,0.22,0.32,61.1543259630998,59.8724231139572,60.6759434956778,61.4695414099932,60.3853524982888,61.1013004791239,1581,912
C21,72,121,43,73,0.03,0.04,0.04,60.1142672446574,59.6728664279532,59.8375340901434,60.4113620807666,59.2607802874743,59.570841889117,193,116
C22,193,130,178,120,0.08,0.05,0.06,64.0266550343473,63.0199547201601,63.6214815332812,65.5722108145106,64.1676933607118,64.9007529089665,323,298
C23,18,47,18,46,0.01,0.02,0.01,64.4586660582554,64.0199222333872,64.1414205233507,66.701916495551,64.8918548939083,65.4777549623546,65,64
C24,79,66,65,54,0.03,0.02,0.03,63.6248971139934,61.7298861302968,62.7623403903798,65.119780971937,63.0989048596851,63.8528405201916,145,119
C25,313,295,288,273,0.14,0.11,0.12,64.3378206095436,63.4872910358589,63.9251458986275,65.9808350444901,64.5277207392197,65.3145106091718,608,561
C26,60,39,40,21,0.03,0.01,0.02,61.411202372804,58.7447656154022,60.3607878926154,61.6793292265572,58.9082819986311,60.8993839835729,99,61
C30,20,17,14,11,0.01,0.01,0.01,59.6256673511294,62.4797278254217,60.9369924339124,61.6098562628337,63.3449691991786,62.145106091718,37,25
C32,216,28,107,11,0.09,0.01,0.05,60.8806436484397,59.3155617483133,60.7010440861301,61.3771389459274,61.4079397672827,61.3771389459274,244,118
