code,nread,ndrugad,abs_40_M,abs_40_F,abs_50_M,abs_50_F,abs_60_M,abs_60_F,abs_40_MU,abs_40_FU,abs_50_MU,abs_50_FU,abs_60_MU,abs_60_FU,abs_40_MD,abs_40_FD,abs_50_MD,abs_50_FD,abs_60_MD,abs_60_FD,ndrugad_p
A04,115,2,8.5% [5.9%-11.1%],6.7% [4.6%-8.9%],10.5% [7.9%-13.2%],8.4% [6.3%-10.5%],13% [8.4%-17.7%],10.5% [6.8%-14.2%],0.110941398108947,0.0890937140289425,0.131687037327876,0.105043276494795,0.176969578746592,0.141578709339517,0.0585430833165975,0.0456693498802145,0.0790020181106446,0.0632591130820749,0.0835160734351171,0.0676737196699652,1.74%
A08,62,0,4.8% [2.3%-7.3%],8.4% [5.3%-11.5%],5.6% [3.1%-8%],9.6% [6.8%-12.5%],6.4% [2.8%-10%],11% [5.9%-16.1%],0.0730947387397053,0.114559071721247,0.0798974255114295,0.124551532755068,0.0997538237995893,0.161487824256557,0.0232613279643266,0.0533477856793489,0.0311376492766282,0.0678328923296793,0.0280463507471726,0.0585140276829616,<0.1%
A09,292,3,7% [5.5%-8.5%],5.4% [4.3%-6.5%],10.2% [8.5%-11.9%],7.9% [6.8%-9.1%],14.7% [11.4%-17.9%],11.5% [9%-14%],0.0848979820850013,0.0649635926912485,0.118845012680184,0.0910992199560789,0.179476726458879,0.140296299512772,0.0547966316415032,0.0428891636017572,0.0851156406858048,0.0676206556321226,0.11365664637021,0.0903569287044963,1.03%
A16,15,1,25.8% [12.3%-39.3%],11.5% [0%-23.9%],20.5% [7.3%-33.7%],8.8% [0%-20.8%],16% [0%-34.7%],6.7% [0%-19.3%],0.392895046352472,0.239323767919649,0.336506794749523,0.208134676716645,0.346979511955719,0.192933891165171,0.123453770684633,0,0.0729455716073355,0,0,0,6.67%
A40,17,0,27.2% [10.7%-43.7%],16.1% [1.7%-30.5%],19.8% [9.3%-30.4%],11.3% [1.6%-20.9%],14.1% [0.9%-27.2%],7.8% [0%-17.2%],0.437098601179383,0.305258562021351,0.303766640848933,0.209421139187582,0.271963598288882,0.17169671842457,0.106535907411954,0.0172849762131367,0.0926190370430597,0.0164697919363439,0.00935296898537102,0,<0.1%
A41,570,4,29.8% [25.8%-33.8%],25% [21.7%-28.2%],29.9% [27.1%-32.7%],25.1% [22.4%-27.8%],30% [26.1%-34%],25.2% [21%-29.3%],0.338382079341316,0.282282425708738,0.327290013332496,0.277742304669588,0.340341760442733,0.293223609494583,0.257961756785768,0.217139901646906,0.271323570646101,0.223712663903081,0.260546512079013,0.210269497311284,0.7%
A48,12,0,23.7% [6.1%-41.4%],24.5% [0%-50.6%],16.9% [6.3%-27.5%],17.5% [0%-36.2%],11.8% [0%-25.1%],12.2% [0%-30.2%],0.413761019672421,0.506052568635055,0.275094792451961,0.361756464445798,0.251049976643295,0.301838100289708,0.0605638578739082,0,0.0630352039580434,0,0,0,<0.1%
A49,34,0,19.4% [8.8%-30%],26.3% [13.5%-39.2%],20.1% [11.5%-28.7%],27.2% [15.9%-38.6%],20.9% [8%-33.7%],28.2% [11.2%-45.2%],0.299798143626996,0.391603182800244,0.287324532178475,0.386039345121466,0.337011609140031,0.452088027233548,0.0876817659529744,0.13500732464323,0.114958011295189,0.158892729357628,0.0804926486096762,0.111559197448431,<0.1%
A87,11,0,11.1% [3.7%-18.6%],2.6% [0%-5.6%],5.8% [0%-12.6%],1.3% [0%-3.4%],3% [0%-8.7%],<1%,0.1859079741536,0.0556179688660042,0.125753678401988,0.0336675940351145,0.0867621352206767,0.0212102203779845,0.0366482722446308,0,0,0,0,0,<0.1%
B00,18,1,16% [4.3%-27.6%],12.3% [3.6%-21%],20.3% [8.1%-32.5%],15.9% [5.7%-26%],25.5% [4.2%-46.9%],20.2% [1.2%-39.2%],0.276447257670199,0.210148952085619,0.32502126242538,0.259966393537749,0.468669220007572,0.392204414405704,0.0428770843422942,0.0360326877992205,0.0814982981277188,0.0572071621258076,0.0416260144551539,0.0117182097912391,5.56%
