code,bmi_mean_M,bmi_mean_F,sbp_mean_M,sbp_mean_F,smk_mean_M,smk_mean_F,bmi_lci_M,bmi_uci_M,bmi_lci_F,bmi_uci_F,sbp_lci_M,sbp_uci_M,sbp_lci_F,sbp_uci_F,smk_lci_M,smk_uci_M,smk_lci_F,smk_uci_F,bmi_label_M,sbp_label_M,bmi_label_F,sbp_label_F,smk_label_M,smk_label_F
A02,29.9480659574468,29.1513236842105,139.363636363636,140.885714285714,0.617021276595745,0.447368421052632,28.6164284443645,31.2797034705291,27.1013086110563,31.2013387573647,132.685534789805,146.041737937467,135.896904973569,145.874523597859,0.476541260254483,0.757501292937008,0.28715248157217,0.607584360533094,30 [29-31],139 [133-146],29 [27-31],141 [136-146],62% [48-76%],45% [29-61%]
A04,28.3531799295775,27.9413011267606,140.473880597015,138.383136094675,0.594782608695652,0.452777777777778,27.9782834827428,28.7280763764122,27.5432803503535,28.3393219031677,138.955672738632,141.992088455398,136.854168561144,139.912103628206,0.554408302500233,0.635156914891071,0.416266134472815,0.489289421082741,28 [28-29],140 [139-142],28 [28-28],138 [137-140],59% [55-64%],45% [42-49%]
A06,27.96878,27.2442125,143.538461538462,142.25,0.666666666666667,0.375,26.1467772595663,29.7907827404337,24.585906443962,29.902518556038,135.737458922478,151.339464154446,129.28714151894,155.21285848106,0.428103063842194,0.905230269491139,0.0395199335280866,0.710480066471913,28 [26-30],144 [136-151],27 [25-30],142 [129-155],67% [43-91%],38% [4-71%]
A07,27.0550578947368,25.07782,143,136,0.631578947368421,0.6,25.3488763055098,28.7612394839638,22.4044205300198,27.7512194699802,134.804177534722,151.195822465278,123.694355471056,148.305644528944,0.414676070157014,0.848481824579828,0.352077431442799,0.847922568557201,27 [25-29],143 [135-151],25 [22-28],136 [124-148],63% [41-85%],60% [35-85%]
A08,28.4069863372093,28.1459987041037,142.450151057402,139.205188679245,0.555555555555556,0.429184549356223,27.923362588108,28.8906100863106,27.6082014837024,28.683795924505,140.417792232386,144.482509882418,137.16817606266,141.24220129583,0.503272155523112,0.607838955588,0.384001503072196,0.47436759564025,28 [28-29],142 [140-144],28 [28-29],139 [137-141],56% [50-61%],43% [38-47%]
A09,28.6008553994083,27.8961002250225,141.476556495004,137.720657276995,0.570386579139314,0.445037828215398,28.3365882417167,28.8651225570999,27.6622013967253,28.1299990533197,140.47960107939,142.473511910618,136.853727311914,138.587587242076,0.544009254637702,0.596763903640926,0.424401680286438,0.465673976144358,29 [28-29],141 [140-142],28 [28-28],138 [137-139],57% [54-60%],45% [42-47%]
A15,25.2359333333333,26.6905615384615,129.913043478261,138.615384615385,0.68,0.384615384615385,22.8254533842858,27.6464132823808,23.5368093956858,29.8443136812372,123.251056822845,136.575030133677,126.007434460796,151.223334769974,0.497141348577651,0.862858651422349,0.120148658793574,0.649082110437197,25 [23-28],130 [123-137],27 [24-30],139 [126-151],68% [50-86%],38% [12-65%]
A16,25.6614,27.278244,137.8125,129.88,0.549019607843137,0.24,24.4363056957841,26.8864943042159,24.4980438727359,30.0584441272641,131.71451827875,143.91048172125,123.384026551778,136.375973448222,0.411094342933115,0.686944872753159,0.072583413008149,0.407416586991851,26 [24-27],138 [132-144],27 [24-30],130 [123-136],55% [41-69%],24% [7-41%]
A18,27.1974709677419,27.420919047619,144.925925925926,139,0.451612903225806,0.227272727272727,25.5733649145159,28.8215770209679,25.1027550830455,29.7390830121925,137.087373775138,152.764478076714,128.087181848853,149.912818151147,0.273529999391036,0.629695807060576,0.0480334409455231,0.406512013599931,27 [26-29],145 [137-153],27 [25-30],139 [128-150],45% [27-63%],23% [5-41%]
A31,24.32404,23.9885545454545,133.444444444444,133,0.727272727272727,0.545454545454545,22.3554094282565,26.2926705717435,20.3474772076345,27.6296318832745,121.472607533913,145.416281354975,123.287501751752,142.712498248248,0.464080739287827,0.990464715257627,0.251196957320772,0.839712133588318,24 [22-26],133 [121-145],24 [20-28],133 [123-143],73% [46-99%],55% [25-84%]
